X,Y,fid,TIPO,icon_url
-109.709326,23.131795,"344",PREESCOLAR,
-110.69659,24.703125,"345",INICIAL GENERAL,
-109.702937,23.179922,"346",PREESCOLAR,
-112.869154,27.298061,"347",SECUNDARIA,
-109.706524,23.139921,"348",PRIMARIA,
-112.027222,25.768375,"349",PREESCOLAR,
-111.350517,26.021916,"350",PREESCOLAR,
-111.253,25.7278,"351",INICIAL GENERAL,
-109.915663,22.885522,"352",PRIMARIA,
-111.270773,25.734817,"353",PRIMARIA,
-109.687874,23.086143,"354",PRIMARIA,
-110.315531,24.114201,"355",PRIMARIA,
-111.630565,24.931731,"356",PREESCOLAR,
-113.149,26.7999,"357",INICIAL GENERAL,
-110.306631,24.157483,"358",PRIMARIA,
-112.076727,27.186599,"359",PRIMARIA,
-111.990698,26.878033,"360",INICIAL GENERAL,
-113.452097,27.71919,"361",PRIMARIA,
-112.236732,27.061554,"362",INICIAL GENERAL,
-111.676135,25.044252,"363",SECUNDARIA,
-110.297571,24.055018,"364",PREESCOLAR,
-113.782509,27.882983,"365",PRIMARIA,
-109.95779,22.907458,"366",PREESCOLAR,
-109.940641,22.892675,"367",PREESCOLAR,
-110.160095,23.952488,"368",PRIMARIA,
-109.710234,23.120068,"369",PREESCOLAR,
-109.96374,22.912851,"370",PRIMARIA,
-110.279112,24.140286,"371",PREESCOLAR,
-109.747156,23.844226,"372",PRIMARIA,
-109.685085,23.076417,"373",PREESCOLAR,
-111.767011,25.265574,"374",SECUNDARIA,
-114.056398,27.958526,"375",PRIMARIA,
-110.687633,24.373105,"376",PREESCOLAR,
-109.928046,22.915176,"377",SECUNDARIA,
-109.928046,22.915176,"378",SECUNDARIA,
-110.297381,24.055025,"379",PRIMARIA,
-112.877,27.3015,"380",INICIAL GENERAL,
-111.636085,25.034245,"381",PREESCOLAR,
-110.318134,23.809251,"382",PRIMARIA,
-110.289561,24.156814,"383",PREESCOLAR,
-113.395408,27.539929,"384",SECUNDARIA,
-112.090807,26.176628,"385",INICIAL GENERAL,
-110.312133,23.785091,"386",PRIMARIA,
-113.419472,27.645091,"387",PREESCOLAR,
-109.728744,23.097202,"388",PRIMARIA,
-114.044,27.0167,"389",INICIAL GENERAL,
-110.274975,24.14965,"390",PREESCOLAR,
-110.307733,24.025964,"391",PRIMARIA,
-109.728387,23.107232,"392",PREESCOLAR,
-109.932461,22.891312,"393",PREESCOLAR,
-110.290682,24.146124,"394",PREESCOLAR,
-112.350856,27.260214,"395",SECUNDARIA,
-111.323184,25.092277,"396",SECUNDARIA,
-113.362,27.7983,"397",PRIMARIA,
-113.714768,26.801472,"398",SECUNDARIA,
-111.639792,25.337345,"399",SECUNDARIA,
-110.336151,24.130094,"400",SECUNDARIA,
-110.336151,24.130094,"401",SECUNDARIA,
-110.953305,24.841297,"402",INICIAL GENERAL,
-109.704437,23.088144,"403",PRIMARIA,
-110.300603,24.110552,"404",PREESCOLAR,
-112.987913,27.666374,"405",INICIAL GENERAL,
-110.101,24.0124,"406",INICIAL GENERAL,
-109.717839,23.081624,"407",PRIMARIA,
-110.302398,24.111921,"408",PRIMARIA,
-111.7841,25.264493,"409",PREESCOLAR,
-109.95779,23.970447,"410",PREESCOLAR,
-112.950219,27.534442,"411",PRIMARIA,
-110.323112,24.119929,"412",PRIMARIA,
-109.720171,23.095011,"413",PRIMARIA,
-111.544493,25.863619,"414",SECUNDARIA,
-110.28,23.6364,"415",INICIAL GENERAL,
-109.911104,22.890463,"416",PREESCOLAR,
-110.221679,23.446345,"417",SECUNDARIA,
-111.55256,24.423882,"418",PREESCOLAR,
-113.035867,27.708268,"419",INICIAL GENERAL,
-111.367882,26.021535,"420",PREESCOLAR,
-109.707129,23.146846,"421",PREESCOLAR,
-114.045451,27.018084,"422",SECUNDARIA,
-109.929776,22.899567,"423",SECUNDARIA,
-109.929776,22.899567,"424",SECUNDARIA,
-113.16732,26.830769,"425",PRIMARIA,
-110.328218,24.144915,"426",SECUNDARIA,
-111.072003,25.512588,"427",SECUNDARIA,
-112.914391,26.534356,"428",PRIMARIA,
-111.467,24.5899,"429",INICIAL GENERAL,
-110.743215,23.961097,"430",PRIMARIA,
